timestamp,machine_id,operator_id,task_id,site_id,engine_on,engine_rpm,engine_load_percent,engine_hours,machine_speed_kmh,fuel_level_percent,fuel_rate_lph,fuel_used_l,hydraulic_pressure_bar,coolant_temperature_c,operating_state,idle_duration_min,load_cycles,bucket_or_attachment_load_percent,seatbelt_status,nearest_person_distance_m,nearest_vehicle_distance_m,nearest_obstacle_distance_m
2025-06-13 11:39:00,M0030,OP0018,T00001,ST009,True,652,5.5,10621.82,0.0,72.6,4.02,0.07,46.3,74.1,WAITING,1.0,0,0.0,FASTENED,22.2,50.5,15.2
2025-06-13 11:40:00,M0030,OP0018,T00001,ST009,True,1495,65.6,10621.83,2.1,72.5,24.72,0.48,275.7,94.8,DUMPING,1.0,0,75.9,FASTENED,23.2,22.1,21.6
2025-06-13 11:41:00,M0030,OP0018,T00001,ST009,True,775,,10621.85,0.0,72.5,1.72,0.51,43.1,68.9,WAITING,2.0,0,,FASTENED,14.1,21.1,3.9
2025-06-13 11:42:00,M0030,OP0018,T00001,ST009,True,1338,38.7,10621.87,0.5,72.4,17.2,0.79,259.0,103.3,REVERSING,2.0,0,0.0,FASTENED,15.5,23.0,30.6
2025-06-13 11:43:00,M0030,OP0018,T00001,ST009,True,843,3.4,10621.88,0.0,72.4,3.71,0.86,56.0,73.9,IDLE,3.0,0,0.0,FASTENED,19.4,27.8,39.9
2025-06-13 11:44:00,M0030,OP0018,T00001,ST009,True,686,4.5,10621.9,0.0,72.4,1.75,0.89,57.8,80.6,IDLE,4.0,0,0.0,FASTENED,33.9,3.0,9.5
2025-06-13 11:45:00,M0030,OP0018,T00001,ST009,True,1628,55.2,10621.92,0.7,72.3,10.92,1.07,252.8,77.9,DIGGING,4.0,0,47.7,FASTENED,35.0,45.2,15.2
2025-06-13 11:46:00,M0030,OP0018,T00001,ST009,True,1611,60.7,10621.93,2.9,72.2,20.76,1.41,302.1,78.0,DIGGING,4.0,0,85.2,FASTENED,10.3,6.3,18.5
2025-06-13 11:47:00,M0030,OP0018,T00001,ST009,True,717,6.6,10621.95,0.0,72.2,2.87,1.46,38.7,80.3,IDLE,5.0,0,0.0,FASTENED,18.6,3.0,37.7
2025-06-13 11:48:00,M0030,OP0018,T00001,ST009,True,1431,65.7,10621.97,2.5,72.1,15.52,1.72,250.1,95.0,DIGGING,5.0,0,65.2,FASTENED,19.4,3.0,15.8
2025-06-13 11:49:00,M0030,OP0018,T00001,ST009,True,1651,44.6,10621.98,0.1,72.1,8.75,1.87,264.6,84.6,DIGGING,5.0,0,56.7,FASTENED,14.6,8.0,3.2
2025-06-13 11:50:00,M0030,OP0018,T00001,ST009,True,1517,59.2,10622.0,2.7,72.0,10.54,2.04,267.3,89.7,DIGGING,5.0,1,78.3,FASTENED,5.3,10.4,22.2
2025-06-13 11:51:00,M0030,OP0018,T00001,ST009,True,1473,75.2,10622.02,0.7,72.0,8.34,2.18,,76.9,DIGGING,5.0,2,42.7,FASTENED,20.8,26.8,32.1
2025-06-13 11:52:00,M0030,OP0018,T00001,ST009,True,1699,85.8,10622.03,0.1,71.9,19.14,2.5,231.4,90.1,DIGGING,5.0,3,57.3,FASTENED,34.8,30.1,23.4
2025-06-13 11:53:00,M0030,OP0018,T00001,ST009,True,1671,71.8,10622.05,2.1,71.8,20.54,2.84,272.8,88.9,DIGGING,5.0,3,64.4,FASTENED,25.0,19.1,27.0
2025-06-13 11:54:00,M0030,OP0018,T00001,ST009,True,1527,45.7,10622.07,2.8,71.7,17.01,3.13,316.9,82.0,DIGGING,5.0,4,65.5,FASTENED,26.5,13.0,7.9
2025-06-13 11:55:00,M0030,OP0018,T00001,ST009,True,1823,,10622.08,1.2,71.7,9.21,3.28,198.1,90.1,DIGGING,5.0,4,96.9,FASTENED,28.9,46.5,19.8
2025-06-13 11:56:00,M0030,OP0018,T00001,ST009,True,1553,74.0,10622.1,1.3,71.7,9.5,3.44,291.1,,DIGGING,5.0,4,51.5,FASTENED,20.1,18.8,2.0
2025-06-13 11:57:00,M0030,OP0018,T00001,ST009,True,1625,69.3,10622.12,0.5,71.5,25.96,3.87,296.5,89.3,REVERSING,5.0,4,0.0,FASTENED,22.4,37.2,33.6
2025-06-13 11:58:00,M0030,OP0018,T00001,ST009,True,1562,66.2,10622.13,1.8,71.5,13.88,4.1,275.6,99.6,REVERSING,5.0,4,0.0,FASTENED,26.5,26.6,13.0
2025-06-13 11:59:00,M0030,OP0018,T00001,ST009,True,1608,35.5,10622.15,3.7,71.4,19.35,4.42,248.0,94.4,REVERSING,5.0,4,0.0,FASTENED,13.7,39.9,23.0
2025-06-13 12:00:00,M0030,OP0018,T00001,ST009,True,798,10.7,10622.17,0.0,71.4,4.14,4.49,47.1,87.5,IDLE,6.0,4,0.0,FASTENED,12.6,45.7,16.9
2025-06-13 12:01:00,M0030,OP0018,T00001,ST009,True,1527,41.0,10622.18,7.2,71.3,6.38,4.6,242.0,85.0,TRAVELING,6.0,4,0.0,FASTENED,17.4,37.2,28.1
