timestamp,site_id,temperature_c,humidity_percent,rainfall_mm,wind_speed_kmh,weather_condition,visibility_m,soil_moisture_percent,soil_type,terrain_slope_percent,ground_condition,dust_level
2025-01-01 06:00:00,ST001,14.4,78.1,0.0,39.4,WINDY,5355.0,13.9,MIXED,12.2,NORMAL,MEDIUM
2025-01-01 13:00:00,ST001,18.3,76.7,0.7,6.0,FOG,169.0,17.5,MIXED,12.2,NORMAL,LOW
2025-01-01 19:00:00,ST001,12.1,54.7,0.0,30.8,WINDY,6390.0,12.8,MIXED,12.2,NORMAL,HIGH
2025-01-01 06:00:00,ST002,27.0,45.1,0.0,7.9,CLOUDY,7566.0,12.3,ROCKY,8.1,NORMAL,LOW
2025-01-01 13:00:00,ST002,37.4,51.2,0.0,2.6,CLOUDY,7643.0,18.2,ROCKY,8.1,NORMAL,LOW
2025-01-01 19:00:00,ST002,32.0,86.1,16.2,49.4,STORM,58.0,31.7,ROCKY,8.1,NORMAL,LOW
2025-01-01 06:00:00,ST003,15.4,31.6,0.0,18.6,SUNNY,6770.0,13.5,MIXED,2.8,NORMAL,MEDIUM
2025-01-01 13:00:00,ST003,15.2,38.9,0.0,21.2,SUNNY,6430.0,14.1,MIXED,2.8,COMPACT,MEDIUM
2025-01-01 19:00:00,ST003,24.7,51.8,0.0,14.5,SUNNY,6586.0,14.2,MIXED,2.8,NORMAL,LOW
2025-01-01 06:00:00,ST004,24.2,53.4,0.0,16.6,SUNNY,9615.0,5.5,SANDY,18.7,DRY,MEDIUM
2025-01-01 13:00:00,ST004,27.5,49.4,0.0,15.6,SUNNY,7405.0,10.7,SANDY,18.7,DRY,MEDIUM
2025-01-01 19:00:00,ST004,26.5,49.3,0.0,19.1,SUNNY,9786.0,18.6,SANDY,18.7,COMPACT,HIGH
2025-01-01 06:00:00,ST005,15.9,54.6,0.0,39.5,WINDY,6274.0,12.9,GRAVEL,26.2,COMPACT,HIGH
2025-01-01 13:00:00,ST005,17.3,50.2,0.0,33.4,WINDY,5170.0,12.5,GRAVEL,26.2,NORMAL,MEDIUM
2025-01-01 19:00:00,ST005,20.2,44.9,0.0,36.8,WINDY,3211.0,14.3,GRAVEL,26.2,NORMAL,HIGH
2025-01-01 06:00:00,ST006,14.9,72.7,0.0,6.2,CLOUDY,4922.0,9.5,LOAMY,6.7,DRY,LOW
2025-01-01 13:00:00,ST006,24.6,54.9,0.0,9.6,CLOUDY,8804.0,23.1,LOAMY,6.7,COMPACT,MEDIUM
2025-01-01 19:00:00,ST006,18.8,88.4,0.0,11.5,CLOUDY,9674.0,12.1,LOAMY,6.7,COMPACT,LOW
2025-01-01 06:00:00,ST007,27.0,67.4,0.0,16.3,SUNNY,8331.0,15.7,MIXED,0.0,COMPACT,MEDIUM
2025-01-01 13:00:00,ST007,29.7,,0.5,10.5,FOG,299.0,6.9,MIXED,0.0,DRY,LOW
2025-01-01 19:00:00,ST007,32.7,34.1,0.0,18.4,SUNNY,7826.0,13.5,MIXED,0.0,COMPACT,MEDIUM
2025-01-01 06:00:00,ST008,16.6,100.0,25.2,47.0,STORM,271.0,54.2,GRAVEL,11.8,NORMAL,LOW
2025-01-01 13:00:00,ST008,22.9,42.2,0.0,12.4,SUNNY,8873.0,12.2,GRAVEL,11.8,COMPACT,MEDIUM
2025-01-01 19:00:00,ST008,19.1,28.5,0.0,11.0,SUNNY,5192.0,11.9,GRAVEL,11.8,LOOSE,LOW
2025-01-01 06:00:00,ST009,29.6,80.6,0.0,18.9,SUNNY,7176.0,12.6,LOAMY,0.2,COMPACT,HIGH
2025-01-01 13:00:00,ST009,37.2,34.4,0.0,18.4,SUNNY,5641.0,8.9,LOAMY,0.2,DRY,HIGH
2025-01-01 19:00:00,ST009,32.2,38.4,0.0,18.4,SUNNY,8488.0,15.6,LOAMY,0.2,NORMAL,HIGH
2025-01-01 06:00:00,ST010,18.1,62.5,0.0,2.4,SUNNY,8511.0,22.0,ROCKY,2.7,NORMAL,LOW
2025-01-01 13:00:00,ST010,25.3,25.0,0.0,4.1,SUNNY,8579.0,8.4,ROCKY,2.7,DRY,MEDIUM
2025-01-01 19:00:00,ST010,16.2,36.0,0.0,0.0,SUNNY,9339.0,11.1,ROCKY,2.7,LOOSE,LOW
2025-01-01 06:00:00,ST011,22.8,88.3,9.0,19.1,RAINY,1722.0,41.8,MIXED,0.7,WET,LOW
2025-01-01 13:00:00,ST011,21.5,66.0,13.2,22.5,RAINY,834.0,42.2,MIXED,0.7,WET,LOW
2025-01-01 19:00:00,ST011,23.1,53.3,8.8,16.5,RAINY,589.0,23.5,MIXED,0.7,NORMAL,LOW
2025-01-01 06:00:00,ST012,16.8,44.1,0.0,12.6,SUNNY,8872.0,11.3,ROCKY,5.5,LOOSE,LOW
2025-01-01 13:00:00,ST012,20.9,37.8,0.0,5.7,SUNNY,5657.0,6.2,ROCKY,5.5,DRY,LOW
2025-01-01 19:00:00,ST012,21.0,51.7,0.0,10.9,SUNNY,6270.0,4.7,ROCKY,5.5,DRY,LOW
2025-01-01 06:00:00,ST013,14.8,97.8,8.3,15.3,RAINY,451.0,29.7,MIXED,0.8,COMPACT,LOW
2025-01-01 13:00:00,ST013,20.7,65.2,6.7,12.0,RAINY,1765.0,25.9,MIXED,0.8,NORMAL,LOW
2025-01-01 19:00:00,ST013,17.5,84.8,13.9,9.6,RAINY,1541.0,42.3,MIXED,0.8,WET,LOW
2025-01-01 06:00:00,ST014,23.2,62.6,0.0,8.6,SUNNY,9446.0,10.1,ROCKY,0.4,DRY,MEDIUM
2025-01-01 13:00:00,ST014,24.5,44.8,0.0,9.9,SUNNY,5348.0,3.1,ROCKY,0.4,DRY,LOW
2025-01-01 19:00:00,ST014,22.4,66.4,0.0,12.5,SUNNY,9504.0,17.7,ROCKY,0.4,COMPACT,LOW
2025-01-01 06:00:00,ST015,24.1,42.5,0.0,8.9,SUNNY,4770.0,13.4,LOAMY,3.0,COMPACT,LOW
2025-01-01 13:00:00,ST015,31.6,51.9,0.0,2.5,SUNNY,8923.0,3.0,LOAMY,3.0,DRY,MEDIUM
2025-01-01 19:00:00,ST015,29.7,53.2,0.0,13.0,SUNNY,6371.0,8.5,LOAMY,3.0,LOOSE,MEDIUM
2025-01-02 06:00:00,ST001,9.0,60.8,0.0,3.2,CLOUDY,8331.0,12.6,MIXED,12.2,COMPACT,LOW
2025-01-02 13:00:00,ST001,21.9,72.9,0.0,7.4,CLOUDY,6474.0,12.0,MIXED,12.2,NORMAL,MEDIUM
2025-01-02 19:00:00,ST001,11.4,57.0,0.0,12.0,CLOUDY,8621.0,3.9,MIXED,12.2,LOOSE,LOW
2025-01-02 06:00:00,ST002,28.4,46.9,0.0,17.4,SUNNY,4331.0,15.2,ROCKY,8.1,COMPACT,MEDIUM
2025-01-02 13:00:00,ST002,37.7,47.0,0.0,6.2,SUNNY,9200.0,9.3,ROCKY,8.1,DRY,LOW
2025-01-02 19:00:00,ST002,32.3,90.6,0.0,5.5,SUNNY,4163.0,6.4,ROCKY,8.1,LOOSE,LOW
2025-01-02 06:00:00,ST003,14.3,58.9,0.0,21.8,CLOUDY,9328.0,9.1,MIXED,2.8,DRY,LOW
2025-01-02 13:00:00,ST003,17.4,56.9,0.0,15.4,CLOUDY,5993.0,15.0,MIXED,2.8,NORMAL,LOW
2025-01-02 19:00:00,ST003,16.3,83.8,0.0,22.2,CLOUDY,4795.0,7.3,MIXED,2.8,DRY,MEDIUM
2025-01-02 06:00:00,ST004,21.3,33.4,0.0,39.3,WINDY,5076.0,5.2,SANDY,18.7,DRY,HIGH
2025-01-02 13:00:00,ST004,25.4,77.2,0.0,45.3,WINDY,4981.0,15.4,SANDY,18.7,COMPACT,MEDIUM
2025-01-02 19:00:00,ST004,23.1,68.4,0.0,43.0,WINDY,8459.0,8.7,SANDY,18.7,DRY,MEDIUM
2025-01-02 06:00:00,ST005,17.4,56.1,0.0,7.9,CLOUDY,8049.0,8.8,GRAVEL,26.2,DRY,LOW
2025-01-02 13:00:00,ST005,21.4,67.6,0.0,8.9,CLOUDY,8457.0,9.7,GRAVEL,26.2,LOOSE,LOW
2025-01-02 19:00:00,ST005,25.2,59.5,0.0,7.2,CLOUDY,7172.0,6.4,GRAVEL,26.2,LOOSE,LOW
2025-01-02 06:00:00,ST006,20.1,73.2,0.0,11.9,SUNNY,6703.0,13.5,LOAMY,6.7,NORMAL,MEDIUM
2025-01-02 13:00:00,ST006,23.6,50.5,0.0,33.5,WINDY,3193.0,10.4,LOAMY,6.7,DRY,HIGH
2025-01-02 19:00:00,ST006,20.8,61.6,0.0,6.3,SUNNY,6474.0,12.5,LOAMY,6.7,NORMAL,LOW
2025-01-02 06:00:00,ST007,31.7,25.7,0.0,4.8,CLOUDY,5721.0,12.0,MIXED,0.0,DRY,LOW
2025-01-02 13:00:00,ST007,36.2,62.3,0.0,11.6,CLOUDY,9160.0,15.8,MIXED,0.0,NORMAL,LOW
2025-01-02 19:00:00,ST007,33.5,67.9,0.0,18.9,CLOUDY,9910.0,10.9,MIXED,0.0,LOOSE,LOW
2025-01-02 06:00:00,ST008,20.4,58.3,0.0,9.6,CLOUDY,8495.0,7.5,GRAVEL,11.8,DRY,LOW
2025-01-02 13:00:00,ST008,20.9,35.3,0.0,2.5,CLOUDY,8556.0,6.4,GRAVEL,11.8,DRY,LOW
2025-01-02 19:00:00,ST008,23.3,50.5,0.0,13.3,CLOUDY,4330.0,8.5,GRAVEL,11.8,DRY,MEDIUM
2025-01-02 06:00:00,ST009,32.2,63.7,0.1,13.1,FOG,272.0,13.0,LOAMY,0.2,NORMAL,LOW
2025-01-02 13:00:00,ST009,34.1,83.5,0.2,13.8,FOG,228.0,6.5,LOAMY,0.2,LOOSE,LOW
2025-01-02 19:00:00,ST009,34.9,100.0,0.4,16.0,FOG,52.0,20.1,LOAMY,0.2,COMPACT,LOW
2025-01-02 06:00:00,ST010,15.9,83.0,12.3,18.0,RAINY,475.0,21.6,ROCKY,2.7,NORMAL,LOW
2025-01-02 13:00:00,ST010,22.4,71.3,7.4,15.0,RAINY,600.0,14.8,ROCKY,2.7,COMPACT,LOW
2025-01-02 19:00:00,ST010,22.6,78.0,13.9,20.4,RAINY,320.0,28.0,ROCKY,2.7,COMPACT,LOW
2025-01-02 06:00:00,ST011,22.6,11.2,0.0,37.8,WINDY,6688.0,8.9,MIXED,0.7,DRY,MEDIUM
2025-01-02 13:00:00,ST011,23.0,70.4,0.0,41.3,WINDY,5835.0,11.7,MIXED,0.7,DRY,HIGH
2025-01-02 19:00:00,ST011,25.9,66.0,0.0,31.9,WINDY,5784.0,7.7,MIXED,0.7,LOOSE,MEDIUM
2025-01-02 06:00:00,ST012,16.7,43.0,0.0,4.4,SUNNY,5547.0,5.9,ROCKY,5.5,LOOSE,MEDIUM
2025-01-02 13:00:00,ST012,21.0,41.4,0.0,6.0,SUNNY,6852.0,12.3,ROCKY,5.5,NORMAL,MEDIUM
2025-01-02 19:00:00,ST012,21.5,39.6,0.0,13.1,SUNNY,9718.0,10.6,ROCKY,5.5,DRY,LOW
2025-01-02 06:00:00,ST013,13.3,44.0,0.0,9.1,SUNNY,5720.0,11.6,MIXED,0.8,DRY,MEDIUM
2025-01-02 13:00:00,ST013,17.6,56.6,0.0,13.9,SUNNY,6242.0,15.8,MIXED,0.8,NORMAL,LOW
2025-01-02 19:00:00,ST013,17.6,82.6,12.3,10.9,RAINY,1202.0,35.1,MIXED,0.8,NORMAL,LOW
2025-01-02 06:00:00,ST014,16.4,60.9,0.0,10.0,SUNNY,4134.0,16.8,ROCKY,0.4,COMPACT,LOW
2025-01-02 13:00:00,ST014,25.0,53.6,0.0,5.7,SUNNY,9886.0,9.7,ROCKY,0.4,DRY,MEDIUM
2025-01-02 19:00:00,ST014,18.8,71.8,0.0,7.4,SUNNY,6715.0,17.9,ROCKY,0.4,NORMAL,MEDIUM
2025-01-02 06:00:00,ST015,27.1,78.9,0.0,27.3,WINDY,6024.0,8.7,LOAMY,3.0,DRY,HIGH
2025-01-02 13:00:00,ST015,29.6,56.9,0.0,30.9,WINDY,8157.0,4.6,LOAMY,3.0,DRY,HIGH
2025-01-02 19:00:00,ST015,28.4,74.6,0.0,26.1,WINDY,4808.0,10.0,LOAMY,3.0,DRY,MEDIUM
2025-01-03 06:00:00,ST001,13.6,68.8,0.0,12.9,SUNNY,8301.0,8.2,MIXED,12.2,DRY,LOW
2025-01-03 13:00:00,ST001,18.6,56.5,0.0,5.7,SUNNY,4234.0,5.9,MIXED,12.2,DRY,MEDIUM
2025-01-03 19:00:00,ST001,16.3,63.7,0.0,8.2,SUNNY,7639.0,9.0,MIXED,12.2,LOOSE,MEDIUM
2025-01-03 06:00:00,ST002,30.2,52.4,0.0,16.4,SUNNY,4085.0,14.7,ROCKY,8.1,NORMAL,
2025-01-03 13:00:00,ST002,30.5,76.1,0.0,11.1,FOG,90.0,11.8,ROCKY,8.1,DRY,
2025-01-03 19:00:00,ST002,31.2,61.1,0.0,14.0,SUNNY,5213.0,12.8,ROCKY,8.1,COMPACT,LOW
2025-01-03 06:00:00,ST003,16.6,57.9,0.0,20.2,CLOUDY,9373.0,16.1,MIXED,2.8,COMPACT,MEDIUM
2025-01-03 13:00:00,ST003,17.9,27.9,0.0,23.9,CLOUDY,8621.0,3.4,MIXED,2.8,LOOSE,LOW
2025-01-03 19:00:00,ST003,16.6,76.0,0.0,,CLOUDY,4587.0,13.1,MIXED,2.8,NORMAL,LOW
2025-01-03 06:00:00,ST004,21.2,55.9,0.0,18.1,SUNNY,9362.0,15.9,SANDY,18.7,NORMAL,HIGH
